"Run ID" RA_PNT DEC_PNT Exposure[s] ALT_PNT AZ_PNT TSTART[MJD] SRC_NAME NSB_TUNING POINT/FULL_ENCLOSURE FILENAME
2912 86.63670643852761 22.015531425086223 59171.12518168522 83.18620853231155 177.79619240201674 59171.12518168522 OffCrabLo142 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201117/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02912.fits
2923 83.9642715689266 22.24704807658932 59171.98118256057 46.52338079102177 87.1889710161196 59171.98118256057 Crab 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20201118/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02923.fits
2924 83.26246728771424 21.788387689373874 59171.99590720846 51.883488561536524 90.77062359278065 59171.99590720846 Crab 0.14 point /pnfs/cta.cscs.ch/lst/DL3/20201118/v0.10/tailcut84/nsb_tuning_0.14/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.14/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02924.fits
2929 83.97333427546165 22.24469256942938 59172.07029038802 74.15230738639961 110.70457984764084 59172.07029038802 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201118/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02929.fits
2930 83.27068357373847 21.786611761712756 59172.08536009947 78.76551652016745 126.57780872926793 59172.08536009947 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201118/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02930.fits
2931 83.9757215175473 22.24448910253907 59172.10048549862 82.03283273396683 145.01699175701083 59172.10048549862 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201118/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02931.fits
2932 83.27326583903056 21.78651546900891 59172.11538408929 82.84467251906061 188.43777917647486 59172.11538408929 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201118/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02932.fits
2933 83.9782040060818 22.244509639828877 59172.13012257723 81.62834400557564 219.1176186283667 59172.13012257723 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201118/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02933.fits
2934 83.27543466167748 21.786725307839756 59172.1449375601 77.26876203857341 239.19690997968726 59172.1449375601 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201118/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02934.fits
2949 83.97225695216568 22.244829441679787 59173.05331314721 70.07052008668265 104.33559206172156 59173.05331314721 Crab 0.22 point /pnfs/cta.cscs.ch/lst/DL3/20201119/v0.10/tailcut84/nsb_tuning_0.22/0.10.18/std/20250212_v0.10.17_allsky_interp_dl2_irfs_nsb_0.22/src_indep/point/ring-wobble/gheff0.9_thetacont0.7/irf_interp/dl3_LST-1.Run02949.fits
